"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 15, 2013","1,495.31","1,473.97","1,495.79","1,471.81","-","1.45%"
"Oct 14, 2013","1,473.97","1,477.00","1,479.33","1,466.14","-","-0.21%"
"Oct 11, 2013","1,477.00","1,484.82","1,491.51","1,470.96","-","-0.53%"
"Oct 10, 2013","1,484.82","1,461.00","1,486.49","1,457.42","-","1.63%"
"Oct 09, 2013","1,461.00","1,471.65","1,471.82","1,455.06","-","-0.72%"
"Oct 08, 2013","1,471.65","1,444.32","1,471.71","1,442.44","-","1.89%"
"Oct 07, 2013","1,444.32","1,443.15","1,445.61","1,428.03","-","0.08%"
"Oct 04, 2013","1,443.15","1,427.81","1,443.43","1,422.31","-","1.07%"
"Oct 03, 2013","1,427.81","1,421.94","1,437.54","1,421.69","-","0.41%"
"Oct 02, 2013","1,421.94","1,438.04","1,441.72","1,417.07","-","-1.12%"
"Oct 01, 2013","1,438.04","1,422.49","1,440.34","1,421.55","-","1.09%"
"Sep 30, 2013","1,422.49","1,432.87","1,437.20","1,413.79","-","-0.72%"
"Sep 27, 2013","1,432.87","1,451.64","1,451.64","1,428.82","-","-1.29%"
"Sep 26, 2013","1,451.64","1,452.98","1,460.39","1,443.30","-","-0.09%"
"Sep 25, 2013","1,452.98","1,446.41","1,453.72","1,437.43","-","0.45%"
"Sep 24, 2013","1,446.41","1,451.43","1,457.99","1,440.75","-","-0.35%"
"Sep 23, 2013","1,451.43","1,462.92","1,467.76","1,445.10","-","-0.79%"
"Sep 20, 2013","1,462.92","1,478.75","1,483.33","1,460.87","-","-1.07%"
"Sep 19, 2013","1,478.75","1,429.62","1,496.14","1,428.25","-","3.44%"
"Sep 18, 2013","1,429.62","1,439.79","1,447.43","1,426.72","-","-0.71%"
"Sep 17, 2013","1,439.79","1,436.14","1,439.79","1,424.98","-","0.25%"
"Sep 16, 2013","1,436.14","1,396.57","1,436.14","1,394.77","-","2.83%"
"Sep 13, 2013","1,396.57","1,401.46","1,401.80","1,385.60","-","-0.35%"
"Sep 12, 2013","1,401.46","1,394.03","1,408.71","1,386.22","-","0.53%"
"Sep 11, 2013","1,394.03","1,390.55","1,398.92","1,384.96","-","0.25%"
"Sep 10, 2013","1,390.55","1,380.37","1,393.95","1,377.97","-","0.74%"
"Sep 09, 2013","1,380.37","1,345.60","1,380.37","1,345.60","-","2.58%"
"Sep 06, 2013","1,345.60","1,339.80","1,369.00","1,334.22","-","0.43%"
"Sep 05, 2013","1,339.80","1,298.53","1,339.80","1,297.67","-","3.18%"
"Sep 04, 2013","1,298.53","1,293.11","1,298.72","1,285.27","-","0.42%"
