"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 14, 1993","1,272.39","1,326.85","1,339.93","1,267.60","-","-1.92%"
"Apr 13, 1993","1,297.36","1,183.70","1,297.36","1,180.88","-","7.80%"
"Apr 12, 1993","1,203.54","1,254.62","1,276.41","1,195.57","-","-3.18%"
"Apr 09, 1993","1,243.02","1,322.07","1,340.91","1,236.46","-","0.41%"
"Apr 08, 1993","1,238.00","1,099.62","1,237.07","1,099.62","-","12.58%"
"Apr 07, 1993","1,099.62","1,108.64","1,182.99","1,076.45","-","3.77%"
"Apr 06, 1993","1,059.62","949.81","1,064.87","949.05","-","11.79%"
"Apr 05, 1993","947.87","945.58","947.90","924.49","-","0.41%"
"Apr 02, 1993","944.01","953.51","968.05","940.55","-","-0.34%"
"Apr 01, 1993","947.23","921.59","949.77","915.59","-","2.30%"
"Mar 31, 1993","925.91","953.29","957.94","918.40","-","-3.35%"
"Mar 30, 1993","958.05","973.08","992.11","958.05","-","-1.27%"
"Mar 29, 1993","970.40","990.92","1,010.54","961.72","-","-6.67%"
"Mar 26, 1993","1,039.76","969.24","1,039.76","945.93","-","9.98%"
"Mar 25, 1993","945.42","963.53","965.96","913.74","-","-1.21%"
"Mar 24, 1993","956.97","965.58","996.68","956.97","-","-1.47%"
"Mar 23, 1993","971.25","1,035.60","1,035.63","958.42","-","-6.33%"
"Mar 22, 1993","1,036.92","1,148.29","1,179.05","1,036.92","-","-11.75%"
"Mar 19, 1993","1,174.99","1,188.37","1,207.56","1,171.63","-","-0.80%"
"Mar 18, 1993","1,184.48","1,203.20","1,206.59","1,171.43","-","-1.53%"
"Mar 17, 1993","1,202.85","1,238.80","1,239.38","1,193.59","-","-1.61%"
"Mar 16, 1993","1,222.55","1,167.91","1,222.55","1,155.10","-","4.40%"
"Mar 15, 1993","1,171.00","1,226.48","1,247.63","1,177.75","-","-5.29%"
"Mar 12, 1993","1,236.37","1,280.37","1,286.07","1,231.39","-","-2.02%"
"Mar 11, 1993","1,261.80","1,219.47","1,261.80","1,196.25","-","6.13%"
"Mar 10, 1993","1,188.97","1,099.52","1,190.33","1,089.36","-","4.50%"
"Mar 09, 1993","1,137.79","1,160.13","1,209.66","1,129.81","-","-5.94%"
"Mar 08, 1993","1,209.65","1,133.52","1,325.49","1,133.46","-","9.08%"
"Mar 05, 1993","1,109.00","1,116.41","1,180.58","1,026.18","-","-4.32%"
"Mar 04, 1993","1,159.13","1,231.92","1,244.65","1,131.29","-","-5.90%"
"Mar 03, 1993","1,231.77","1,263.74","1,267.54","1,220.03","-","-1.07%"
"Mar 02, 1993","1,245.11","1,207.57","1,285.17","1,186.34","-","3.78%"
"Mar 01, 1993","1,199.73","1,328.22","1,339.10","1,199.73","-","-10.46%"
"Feb 26, 1993","1,339.88","1,348.33","1,444.05","1,320.89","-","-5.00%"
"Feb 25, 1993","1,410.36","1,357.55","1,421.35","1,261.76","-","11.49%"
"Feb 24, 1993","1,264.96","1,289.28","1,346.48","1,196.47","-","-7.49%"
"Feb 23, 1993","1,367.36","1,412.68","1,466.07","1,346.15","-","-6.11%"
"Feb 22, 1993","1,456.29","1,487.84","1,527.13","1,453.31","-","-2.90%"
"Feb 19, 1993","1,499.74","1,471.56","1,514.46","1,441.07","-","-0.56%"
"Feb 18, 1993","1,508.22","1,526.39","1,538.61","1,497.79","-","0.28%"
"Feb 17, 1993","1,504.00","1,522.13","1,533.58","1,502.88","-","-0.63%"
"Feb 16, 1993","1,513.48","1,516.73","1,558.95","1,504.36","-","-1.52%"
"Feb 15, 1993","1,536.82","1,526.10","1,536.82","1,499.10","-","5.35%"
"Feb 12, 1993","1,458.76","1,394.81","1,458.76","1,352.27","-","4.39%"
"Feb 11, 1993","1,397.38","1,473.25","1,497.01","1,364.67","-","-3.92%"
"Feb 10, 1993","1,454.46","1,511.59","1,528.51","1,448.07","-","-1.39%"
"Feb 09, 1993","1,474.92","1,473.89","1,483.52","1,426.48","-","5.87%"
"Feb 08, 1993","1,393.17","1,373.99","1,393.34","1,334.19","-","4.52%"
"Feb 05, 1993","1,332.96","1,373.95","1,404.64","1,325.85","-","-2.82%"
"Feb 04, 1993","1,371.58","1,297.56","1,371.58","1,297.46","-","5.46%"
"Feb 03, 1993","1,300.56","1,283.26","1,326.19","1,265.70","-","-0.76%"
"Feb 02, 1993","1,310.58","1,315.43","1,325.24","1,291.99","-","2.51%"
"Feb 01, 1993","1,278.50","1,250.16","1,278.50","1,222.18","-","6.68%"
"Jan 29, 1993","1,198.48","1,173.81","1,198.48","1,150.83","-","4.18%"
